MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err
53542.92500000057	8.813340636238875e-16	2.7270310788996324e-17	1.8888476650600677e-16	7.395141722811682e-18	3.480601115903112e-16	1.7857500557101434e-17	nan	nan
53542.97500000057	8.835064781119234e-16	2.7306304466193932e-17	1.8923698526232432e-16	7.404425921758082e-18	3.4866683932049344e-16	1.777217463484824e-17	nan	nan
53543.025000000576	8.856758648546347e-16	2.734225524366152e-17	1.8958909216006665e-16	7.413841776378868e-18	3.492741143408744e-16	1.7687354433329635e-17	nan	nan
53543.07500000058	8.878422112321217e-16	2.7378171996903193e-17	1.8994108408322225e-16	7.423386749951468e-18	3.4988192972511094e-16	1.760304020108159e-17	nan	nan
53543.12500000058	8.900055046170233e-16	2.741406405132905e-17	1.9029295791563522e-16	7.433058385816945e-18	3.5049027854724184e-16	1.7519232175347936e-17	nan	nan
53543.175000000585	8.921657323744568e-16	2.7449941178999227e-17	1.90644710541003e-16	7.442854306505438e-18	3.510991538816578e-16	1.743593058172371e-17	nan	nan
53543.22500000059	8.943228818620103e-16	2.7485813594856688e-17	1.9099633899233335e-16	7.45277203723043e-18	3.5170854880313842e-16	1.7353135633819018e-17	nan	nan
53543.27500000059	8.964769404297293e-16	2.7521691952697535e-17	1.9134784111095322e-16	7.462808231330934e-18	3.523184563868072e-16	1.7270847532879507e-17	nan	nan
53543.325000000594	8.986278954200571e-16	2.7557587340743378e-17	1.9169921501011535e-16	7.472959299844713e-18	3.5292886970814514e-16	1.7189066467410374e-17	nan	nan
53543.3750000006	9.007757341677971e-16	2.7593511276756703e-17	1.9205045880311147e-16	7.483221730732248e-18	3.5353978184298813e-16	1.7107792612796493e-17	nan	nan
53543.4250000006	9.029204440001407e-16	2.7629475702855826e-17	1.9240157060307846e-16	7.493592089091255e-18	3.541511858674823e-16	1.7027026130877934e-17	nan	nan
53543.4750000006	9.05062012236569e-16	2.7665492979873462e-17	1.9275254852298532e-16	7.504067017054714e-18	3.547630748581718e-16	1.6946767169539128e-17	nan	nan
